Time,Index,Sell,Buy
9:05:00,1,3144,823
9:10:00,2,5114,1332
9:15:00,3,636,794
9:20:00,4,1072,662
9:25:00,5,514,384
9:30:00,6,324,509
9:35:00,7,1767,612
9:40:00,8,1546,1323
9:45:00,9,636,658
9:50:00,10,1899,305
9:55:00,11,1025,1296
10:00:00,12,614,1051
10:05:00,13,1441,519
10:10:00,14,2204,1662
10:15:00,15,523,719
10:20:00,16,361,478
10:25:00,17,606,459
10:30:00,18,120,393
10:35:00,19,430,818
10:40:00,20,378,716
10:45:00,21,631,355
10:50:00,22,301,669
10:55:00,23,557,774
11:00:00,24,604,949
11:05:00,25,258,668
11:10:00,26,590,687
11:15:00,27,763,334
11:20:00,28,496,620
11:25:00,29,708,316
11:30:00,30,897,726
11:35:00,31,536,386
11:40:00,32,545,1119
11:45:00,33,892,514
11:50:00,34,479,297
11:55:00,35,568,387
12:00:00,36,190,585
12:05:00,37,452,215
12:10:00,38,500,494
12:15:00,39,898,448
12:20:00,40,299,403
12:25:00,41,643,287
12:30:00,42,438,729
12:35:00,43,591,200
12:40:00,44,515,148
12:45:00,45,343,541
12:50:00,46,811,459
12:55:00,47,322,138
13:00:00,48,709,776
13:05:00,49,481,363
13:10:00,50,457,501
13:15:00,51,518,677
13:20:00,52,563,1024
13:25:00,53,462,519
13:30:00,54,795,461
13:35:00,55,605,771
13:40:00,56,2576,1803
13:45:00,57,683,327
13:50:00,58,873,556
13:55:00,59,1221,888
14:00:00,60,1180,715
14:05:00,61,3301,601
14:10:00,62,1851,927
14:15:00,63,627,697
14:20:00,64,702,596
14:25:00,65,772,665
14:30:00,66,5158,737
14:35:00,67,1133,824
14:40:00,68,872,1185
14:45:00,69,575,942
14:50:00,70,2656,1168
14:55:00,71,1934,1665
15:00:00,72,849,1157
15:05:00,73,324,984
15:10:00,74,606,852
15:15:00,75,605,1090
15:20:00,76,2079,1690
